通道,,信号,,,
安装位置/机柜,控制结构,功能结构,,,命名
+UH01.K3.U88888.PJ1.DI2.32,#DI2.IN29,=TA001.BJ01.OU01.PP01.GP02;SHAKEGP02,,,潜水轴流泵2振动报警
+UH01.K3.U88888.PJ1.DI2.26,#DI2.IN23,=TA001.BJ01.OU01.PP01.GP02;TEMPAXLEGP02,,,潜水轴流泵2轴承高温报警
+UH01.K3.U88888.PJ1.DI2.27,#DI2.IN24,=TA001.BJ01.OU01.PP01.GP02;TEMPCOILGP02,,,潜水轴流泵2绕组高温报警
+UH01.K3.U88888.PJ1.DI2.31,#DI2.IN28,=TA001.BJ01.OU01.PP01.GP02;BRANCHGP02,,,潜水轴流泵2旁路运行状态
+UH01.K3.U88888.PJ1.DI2.30,#DI2.IN27,=TA001.BJ01.OU01.PP01.GP02;FAULTRQ2,,,潜水轴流泵2软启动器故障报警状态
+UH01.K3.U88888.PJ1.DO1.4,#DO1.OUT3,=TA001.BJ01.OU01.PP01.GP02;OFFGP02,,,潜水轴流泵2停泵命令
+UH01.K3.U88888.PJ1.DI2.21,#DI2.IN18,=TA001.BJ01.OU01.PP01.GP02;STOPGP02,,,潜水轴流泵2停泵状态
+UH01.K3.U88888.PJ1.DI2.22,#DI2.IN19,=TA001.BJ01.OU01.PP01.GP02;STARTGP02,,,潜水轴流泵2开泵状态
+UH01.K3.U88888.PJ1.DI2.23,#DI2.IN20,=TA001.BJ01.OU01.PP01.GP02;OVERLOADGP02,,,潜水轴流泵2过载报警
+UH01.K3.U88888.PJ1.DO1.3,#DO1.OUT2,=TA001.BJ01.OU01.PP01.GP02;ONGP02,,,潜水轴流泵2开泵命令
+UH01.K3.U88888.PJ1.DI2.25,#DI2.IN22,=TA001.BJ01.OU01.PP01.GP02;AUTOGP02,,,潜水轴流泵2自动状态
+UH01.K3.U88888.PJ1.DI2.24,#DI2.IN21,=TA001.BJ01.OU01.PP01.GP02;MANUALGP02,,,潜水轴流泵2手动状态
+UH01.K3.U88888.PJ1.DI2.19,#DI2.IN16,=TA001.BJ01.OU01.PP01.GP02;BREAKERONGP02,,,潜水轴流泵2断路器合闸
+UH01.K3.U88888.PJ1.DI2.20,#DI2.IN17,=TA001.BJ01.OU01.PP01.GP02;FAULTGP02,,,潜水轴流泵2故障跳闸报警
